Algoritmo,Instancia,Tempo_Nanosegundos,N_bins
FFD,BPP_50_50_0.1_0.8_2.txt,7770,25
FFD,BPP_50_50_0.1_0.8_3.txt,7290,21
FFD,BPP_50_50_0.1_0.8_4.txt,7360,24
FFD,BPP_50_50_0.1_0.8_5.txt,7910,25
FFD,BPP_50_50_0.1_0.8_6.txt,7350,23
FFD,BPP_50_50_0.1_0.8_7.txt,7440,25
FFD,BPP_50_50_0.1_0.8_8.txt,8170,23
FFD,BPP_50_50_0.1_0.8_9.txt,7360,24
FFD,BPP_50_50_0.2_0.7_0.txt,7530,22
FFD,BPP_50_50_0.2_0.7_1.txt,7680,25
FFD,BPP_50_50_0.2_0.7_2.txt,7310,23
FFD,BPP_50_50_0.2_0.7_3.txt,7920,22
FFD,BPP_50_50_0.2_0.7_4.txt,7410,25
FFD,BPP_50_50_0.2_0.7_5.txt,7370,24
FFD,BPP_50_50_0.2_0.7_6.txt,7870,22
FFD,BPP_50_50_0.2_0.7_7.txt,7650,26
FFD,BPP_50_50_0.2_0.7_8.txt,7410,26
FFD,BPP_50_50_0.2_0.7_9.txt,7290,25
FFD,BPP_50_50_0.2_0.8_0.txt,7220,24
FFD,BPP_50_50_0.2_0.8_1.txt,7240,25
FFD,BPP_50_50_0.2_0.8_2.txt,7350,28
FFD,BPP_50_50_0.2_0.8_3.txt,7310,27
FFD,BPP_50_50_0.2_0.8_4.txt,7580,29
FFD,BPP_50_50_0.2_0.8_5.txt,7390,25
FFD,BPP_50_50_0.2_0.8_6.txt,7130,27
FFD,BPP_50_50_0.2_0.8_7.txt,7430,27
FFD,BPP_50_50_0.2_0.8_8.txt,7200,29
FFD,BPP_50_50_0.2_0.8_9.txt,7550,30
BFD,BPP_50_50_0.1_0.7_0.txt,9070,23
BFD,BPP_50_50_0.1_0.7_1.txt,8280,21
BFD,BPP_50_50_0.1_0.7_2.txt,9280,21
BFD,BPP_50_50_0.1_0.7_3.txt,8250,22
BFD,BPP_50_50_0.1_0.7_4.txt,9150,24
BFD,BPP_50_50_0.1_0.7_5.txt,7890,19
BFD,BPP_50_50_0.1_0.7_6.txt,8180,20
BFD,BPP_50_50_0.1_0.7_7.txt,8280,23
BFD,BPP_50_50_0.1_0.7_8.txt,8010,22
BFD,BPP_50_50_0.1_0.7_9.txt,8490,22
BFD,BPP_50_50_0.1_0.8_0.txt,8820,24
BFD,BPP_50_50_0.1_0.8_1.txt,9220,28
BFD,BPP_50_50_0.1_0.8_2.txt,8980,25
BFD,BPP_50_50_0.1_0.8_3.txt,8400,21
BFD,BPP_50_50_0.1_0.8_4.txt,8820,24
BFD,BPP_50_50_0.1_0.8_5.txt,9340,25
BFD,BPP_50_50_0.1_0.8_6.txt,9010,23
BFD,BPP_50_50_0.1_0.8_7.txt,9080,25
BFD,BPP_50_50_0.1_0.8_8.txt,8530,23
BFD,BPP_50_50_0.1_0.8_9.txt,8700,24
BFD,BPP_50_50_0.2_0.7_0.txt,8460,22
BFD,BPP_50_50_0.2_0.7_1.txt,9120,25
BFD,BPP_50_50_0.2_0.7_2.txt,7980,23
BFD,BPP_50_50_0.2_0.7_3.txt,8220,22
BFD,BPP_50_50_0.2_0.7_4.txt,8360,25
BFD,BPP_50_50_0.2_0.7_5.txt,8600,24
BFD,BPP_50_50_0.2_0.7_6.txt,8550,22
BFD,BPP_50_50_0.2_0.7_7.txt,9290,26
BFD,BPP_50_50_0.2_0.7_8.txt,9550,26
BFD,BPP_50_50_0.2_0.7_9.txt,9770,25
BFD,BPP_50_50_0.2_0.8_0.txt,8610,24
BFD,BPP_50_50_0.2_0.8_1.txt,8440,25
BFD,BPP_50_50_0.2_0.8_2.txt,8850,28
BFD,BPP_50_50_0.2_0.8_3.txt,9150,27
BFD,BPP_50_50_0.2_0.8_4.txt,9480,29
BFD,BPP_50_50_0.2_0.8_5.txt,8890,25
BFD,BPP_50_50_0.2_0.8_6.txt,8400,27
BFD,BPP_50_50_0.2_0.8_7.txt,8190,27
BFD,BPP_50_50_0.2_0.8_8.txt,8840,29
BFD,BPP_50_50_0.2_0.8_9.txt,9310,30
