Algoritmo,Instancia,Tempo_Nanosegundos,N_bins
NFD,Hard28_BPP709.txt,29310,96
NFD,Hard28_BPP716.txt,29210,104
NFD,Hard28_BPP742.txt,27280,88
NFD,Hard28_BPP766.txt,25980,83
NFD,Hard28_BPP781.txt,33660,104
NFD,Hard28_BPP785.txt,30580,98
NFD,Hard28_BPP814.txt,32780,112
NFD,Hard28_BPP832.txt,27250,85
NFD,Hard28_BPP900.txt,37200,108
WFD,Hard28_BPP119.txt,70030,78
WFD,Hard28_BPP13.txt,62810,69
WFD,Hard28_BPP14.txt,51610,63
WFD,Hard28_BPP144.txt,68420,74
WFD,Hard28_BPP175.txt,71560,86
WFD,Hard28_BPP178.txt,72280,82
WFD,Hard28_BPP181.txt,62690,73
WFD,Hard28_BPP195.txt,59510,65
WFD,Hard28_BPP359.txt,61320,76
WFD,Hard28_BPP360.txt,52690,65
WFD,Hard28_BPP40.txt,49680,60
WFD,Hard28_BPP419.txt,71130,82
WFD,Hard28_BPP47.txt,64280,74
WFD,Hard28_BPP485.txt,59380,73
WFD,Hard28_BPP531.txt,72220,85
WFD,Hard28_BPP561.txt,68360,74
WFD,Hard28_BPP60.txt,51690,65
WFD,Hard28_BPP640.txt,60760,77
WFD,Hard28_BPP645.txt,49110,59
WFD,Hard28_BPP709.txt,57520,68
WFD,Hard28_BPP716.txt,62010,76
WFD,Hard28_BPP742.txt,52190,66
WFD,Hard28_BPP766.txt,50140,63
WFD,Hard28_BPP781.txt,74860,75
WFD,Hard28_BPP785.txt,58670,71
WFD,Hard28_BPP814.txt,70600,84
WFD,Hard28_BPP832.txt,49880,61
WFD,Hard28_BPP900.txt,119770,80
FFD,Hard28_BPP119.txt,60230,77
FFD,Hard28_BPP13.txt,47840,68
FFD,Hard28_BPP14.txt,40760,62
FFD,Hard28_BPP144.txt,54860,74
FFD,Hard28_BPP175.txt,53070,84
FFD,Hard28_BPP178.txt,63620,81
FFD,Hard28_BPP181.txt,57800,73
FFD,Hard28_BPP195.txt,52110,65
FFD,Hard28_BPP359.txt,51890,76
FFD,Hard28_BPP360.txt,42480,63
FFD,Hard28_BPP40.txt,42120,60
FFD,Hard28_BPP419.txt,59750,81
FFD,Hard28_BPP47.txt,49180,72
FFD,Hard28_BPP485.txt,48510,72
FFD,Hard28_BPP531.txt,55340,84
FFD,Hard28_BPP561.txt,54670,73
FFD,Hard28_BPP60.txt,42250,64
FFD,Hard28_BPP640.txt,50570,75
FFD,Hard28_BPP645.txt,40570,59
FFD,Hard28_BPP709.txt,52730,68
FFD,Hard28_BPP716.txt,52630,76
FFD,Hard28_BPP742.txt,42620,65
FFD,Hard28_BPP766.txt,53340,63
FFD,Hard28_BPP781.txt,52430,72
FFD,Hard28_BPP785.txt,54190,69
FFD,Hard28_BPP814.txt,54240,82
FFD,Hard28_BPP832.txt,42320,61
FFD,Hard28_BPP900.txt,57950,76
BFD,Hard28_BPP119.txt,72420,78
BFD,Hard28_BPP13.txt,66430,69
BFD,Hard28_BPP14.txt,56860,63
BFD,Hard28_BPP144.txt,67740,75
BFD,Hard28_BPP175.txt,76100,85
BFD,Hard28_BPP178.txt,70340,82
BFD,Hard28_BPP181.txt,60250,74
BFD,Hard28_BPP195.txt,64330,66
BFD,Hard28_BPP359.txt,68730,77
BFD,Hard28_BPP360.txt,56930,64
BFD,Hard28_BPP40.txt,50810,61
BFD,Hard28_BPP419.txt,70680,82
BFD,Hard28_BPP47.txt,65150,73
BFD,Hard28_BPP485.txt,65570,73
BFD,Hard28_BPP531.txt,72420,85
BFD,Hard28_BPP561.txt,75120,74
BFD,Hard28_BPP60.txt,50420,65
BFD,Hard28_BPP640.txt,62480,76
BFD,Hard28_BPP645.txt,49610,60
BFD,Hard28_BPP709.txt,61390,69
BFD,Hard28_BPP716.txt,63320,77
BFD,Hard28_BPP742.txt,54610,66
BFD,Hard28_BPP766.txt,51760,64
BFD,Hard28_BPP781.txt,73900,73
BFD,Hard28_BPP785.txt,62880,70
BFD,Hard28_BPP814.txt,76750,83
BFD,Hard28_BPP832.txt,52440,62
BFD,Hard28_BPP900.txt,74260,77
